Sno,Date,Shop name,"productname",Location,"No of units",suppiied by,"Per unit price","Total Price","Amount Billed",Amount collected,"ReturnsUnits","Returns Amt","Sample Amt","Prv bal collected",Balance Amount,,
1,1-Apr,Greams Palace,Rose Milk,Greams Road,6,M.Karthick,17,100,100,100,0,0,,,,,
2,1-Apr,Vinu Tea stall,Rose Milk,Thoushand Lights,6,M.Karthick,17,100,100,100,0,0,,,,,
3,1-Apr,Masque View,Rose Milk,Thoushand Lights,3,M.Karthick,15,45,45,45,0,0,,,,,
4,1-Apr,CMS,Rose Milk,Thoushand Lights,10,M.Karthick,17,170,170,170,0,0,,,,,
5,1-Apr,FAthima Tea stall,Rose Milk,Thoushand Lights,3,M.Karthick,16,48,48,48,0,0,,,,,
6,1-Apr,Bung Shop,Rose Milk,Royapettah,6,M.Karthick,17,102,102,50,3,51,,,,,
7,1-Apr,Ars Marina ,Rose Milk,Royapettah,0,M.Karthick,0,0,0,0,3,0,,180,,,
8,1-Apr,"Sai Cool,bar",Rose Milk,Royapettah,3,M.Karthick,18,54,54,54,0,0,,,,,
9,1-Apr,KPS Snacks,Rose Milk,Royapettah,10,M.Karthick,17.5,175,175,175,0,0,,,,,
10,1-Apr,City Cafe,Rose Milk,G.P.Road,6,M.Karthick,17,100,100,100,0,0,,,,,
11,1-Apr,Palms,Rose Milk,G.P.Road,3,M.Karthick,17,50,50,50,0,0,,,,,
12,1-Apr,Prahalad Pan Shop,Rose Milk,Mount Road,5,M.Karthick,18,90,90,90,0,0,,90,,,
13,1-Apr,Aroma Backery,Rose Milk,Pudupet,6,M.Karthick,17.5,105,105,105,0,0,,,,,
14,1-Apr,Mass Chai,Rose Milk,Pudupet,5,M.Karthick,18,90,90,90,0,0,,,,,
15,1-Apr,Sindoor Cool bar,Rose Milk,Egmore,10,M.Karthick,18,180,180,180,0,0,,,,,
16,1-Apr,Baby Hospital,Rose Milk,Egmore,6,M.Karthick,17,100,100,100,0,0,,,,,
17,1-Apr,Shanthi Sandwich,Rose Milk,Egmore,0,M.Karthick,0,0,0,0,0,0,,180,,,
18,1-Apr,Renowed,Rose Milk,Egmore,10,M.Karthick,15,150,150,150,0,0,,,,,
19,1-Apr,Geetham Coffee,Rose Milk,Egmore,10,M.Karthick,18,180,180,180,0,0,,,,,
20,1-Apr,Pamba Backery,Rose Milk,Egmore,5,M.Karthick,18,90,90,90,0,0,,,,,
21,1-Apr,Chandrika Backery,Rose Milk,Chetpet,10,M.Karthick,17,170,170,170,0,0,,,,,
22,1-Apr,National Cool bar,Rose Milk,Kilpauk,5,M.Karthick,18,90,90,90,0,0,,,,,
23,1-Apr,Hotel Meghaa,Rose Milk,Aminjikarai,3,Manikandan,17,50,50,50,0,0,,,,,
24,1-Apr,Dinesh Tea stall,Rose Milk,Aminjikarai,3,Manikandan,17,50,50,50,0,0,,,,,
25,1-Apr,Jupiter Tea Stall,Rose Milk,Aminjikarai,5,Manikandan,18,90,90,90,0,0,,,,,
26,1-Apr,Kumaran Tea stall,Rose Milk,Aminjikarai,4,Manikandan,17,68,68,0,4,68,,,,,
27,1-Apr,Standard backery,Rose Milk,Aminjikarai,10,Manikandan,17,170,170,170,0,0,,,,,
28,1-Apr,Mazzi Cool bar,Rose Milk,Mahalingapuram,10,Manikandan,17,170,170,170,0,0,,,,,
29,1-Apr,Mazzi Tea stall,Rose Milk,Mahalingapuram,10,Manikandan,17,170,170,170,0,0,,,,,
30,1-Apr,Kpr Cool bar,Rose Milk,Kodambakkam,5,Manikandan,18,90,90,90,0,0,,,,,
31,1-Apr,My Father ,Rose Milk,Nungambakkam,5,Manikandan,17,85,85,85,0,0,,,,,
32,1-Apr,Kannan Tea Stall,Rose Milk,Nungambakkam,5,Manikandan,18,90,90,90,0,0,,,,,
33,1-Apr,Mathura chat,Rose Milk,Nungambakkam,10,Manikandan,18,180,180,180,0,0,,180,,,
34,1-Apr,Thennagam Tea stall,Rose Milk,Nungambakkam,5,Manikandan,18,90,90,90,0,0,,,,,
35,1-Apr,P.Basker news mart,Rose Milk,Nungambakkam,1,Manikandan,18,18,18,0,1,18,,,,,
36,1-Apr,Sri krishna tea Stall,Rose Milk,Mahalingapuram,5,Manikandan,18,90,90,90,0,0,,,,,
37,1-Apr,Sri krishna tea Stall,Rose Milk,Nungambakkam,5,Manikandan,18,90,90,90,0,0,,,,,
