Sno,Customer_code,date,doneorno,Name,Type,Supply_Price,status,Acquired_by,Location,Contact_Person,Contact_number,Adress,Pincode,Geo tag
1,105,25th Jan,Done,Sri Raag Snacks,Petty shop & Snacks,14.3,LIVE,Sathish,Anna nagar east,,,"E-66, 2nd St, Brindhavan Colony, Block E, Annanagar East, Chennai, Tamil Nadu 600102",600102,https://goo.gl/maps/2J4uz3NeSqB4dbiT6
2,106,25th Jan,Done,Sivanthi standard bakery,Bakery,14.3,LIVE,Sathish,Aminjikarai,,919841669627,"Poonamallee High Rd, Aminjikarai, Chennai, Tamil Nadu 600029",600029,https://goo.gl/maps/tJQ6kgRMqozCKwm89
3,108,26th Jan,No,3rd main road petty shop,Petty shop ,14.3,LIVE,Sathish,Anna nagar east,,,,600102,
4,109,25th Jan,Done,Samridhi tea stall,Petty shop & Snacks,15,NOT LIVE,Sathish,Behind LKS gold house,,,"No 34/64, Vinobaji St, General Kumaramangalam Colony, Anna Nagar, Chennai, Tamil Nadu 600082",600040,"https://www.google.com/maps/place/Bangalore+Iyengar+Bakery/@13.0868421,80.1857712,17z/data=!3m1!4b1!4m5!3m4!1s0x3a526407648e14f1:0xea9a1645b898b730!8m2!3d13.0868421!4d80.1879599"
5,111,25th Jan,Done,Chennai Hot puff,Bakery,15,LIVE,Sathish,Anna nagar ,,,Shanti colony,600040,
6,112,25th Jan,Done,Gokul News Mart,Petty shop ,15,LIVE,Sathish,Anna nagar east,,,Tower club road,600040,
7,116,26th Jan,Done,MK store,Petty shop ,14.3,LIVE,Sathish,Kilpauk,,,New Avadi road,600010,
8,118,26th Jan,,Latest Tea Point,Petty shop & Snacks,14.3,LIVE,Sathish,Kilpauk,,,"24/6, Balfour road, Balfour appartment, Kilpauk, Chennai - 600010",600010,
9,119,26th Jan,,Hotel Paramount petty shop,Petty shop ,14.3,NOT LIVE,Sathish,Kilpauk,,,"Ormes road, next to paramount hotel",600010,
10,120,26th Jan,,Lotus bakery,Bakery,14.3,LIVE,Sathish,Opposite to Allens ,,,"Kilpauk Garden Road, Kilpauk",600010,
11,133,26th Jan,,Kumaran Tea shop,Petty shop & Snacks,14.3,LIVE,Sathish,Aminjakarai,,,Opposite to billroth hospital ,,
12,134,26th Jan,,KUmaran Bakery,Bakery,14.3,NOT LIVE,Sathish,Choolaimedu,,,"Nelson manicakam road , Near HDFC processing center",,
13,135,26th Jan,,City Snacks,Petty shop & Snacks,14.3,LIVE,Sathish,Choolaimedu,,,On Ningambakkam station road,,
14,137,26th Jan,,MKB News Mart,petty shop,14.3,LIVE,Sathish,Choolaimedu,,,On nelsoon manickam road oppsite to passport office,,
15,138,26th Jan,,Golden Bakery,Bakery,14.3,NOT LIVE,Sathish,Arumbakkam,,,,,
16,140,26th Jan,,TP chatiram corner petty shop,petty shop,15, s,Sathish,Kilpauk,,,"Kilpauk Garden Road, Kilpauk at the entrance to tp chatiram road",,
17,141,26th Jan,,Aneesh Cool bar,petty shop,14.3,LIVE,Sathish,Kilpauk,,,"14/2, Flowers Road, Purasaiwalkam, Chennai - 600084",,
18,142,26th Jan,,Arumugam cool bar,petty shop,14.3,Not Live,Sathish,Nungambakkam,,,Opposite to Nilgiris supermarket at exit of subbiah subway,,
19,143,26th Jan,,Chandrika Bakery,Bakery,14.3,LIVE,Sathish,Nungambakkam,,,Near sterling road signal ,,
20,144,26th Jan,,Vishnu Bakery,Bakery,15,LIVE,Sathish,Aminjakarai,,,,,
21,146,26th Jan,,Shanks Cofee shop,Petty shop & Snacks,15,LIVE,Sathish,Anna Nagar East,,,K4 Police station,,
22,147,26th Jan,,Faizal Hotel,Hotel & Petty shop,15,LIVE,Sathish,Anna Nagar East,,,Opposite to Aishwarya restaurant anna nagar east,,
23,149,26th Jan,,Kerala Hot chips petty shop,Petty shop & Snacks,14.3,LIVE,Sathish,Near to Sree mitai,,,"Next to kerala chips shop , shanti colony",,
24,150,26th Jan,,Joshua News Mart,petty shop,14.3,Not Live,Sathish,Greams road,,,,,
25,151,26th Jan,,Viji Cool Bar,petty shop,14.3,Not Live,Sathish,Greams road,,,,,
26,152,26th Jan,,Kalyani Snacks,Petty shop & Snacks,14.3,LIVE,Sathish,Cathedral Road,,,,,
27,153,26th Jan,,Kavitha Cool bar,petty shop,14.3,LIVE,Sathish,Cathedral Road,,,,,
28,154,26th Jan,,Radhas pan palace,petty shop,14.3,LIVE,Gokul,Cathedral Road,,,,,
29,155,26th Jan,,sterling road cafe,Petty shop & Snacks,14.3,LIVE,Gokul,Chetpet,,,,,
30,156,26th Jan,,Kolathur tea shop,Petty shop & Snacks,14.3,Not Live,Gokul,Kolathur,,,,,
31,157,26th Jan,,Anderson t shop,Petty shop & Snacks,14.3,LIVE,Gokul,Nungambakkam,,9840052044,"No: 13/23, Krishnama Road, Chennai - 600034.",,
32,158,26th Jan,,My father tea shop,Petty shop & Snacks,14.3,LIVE,Gokul,Nungambakkam,,,,,
33,159,26th Jan,,Subin Tea shop,Petty shop & Snacks,14.3,LIVE,Gokul,Nungambakkam,,,"No: 161, Kodambakkam, High Road, Chennai - 600034.",,
34,160,26th Jan,,Greams road tea shop,Petty shop & Snacks,14.3,LIVE,Gokul,Greams road,,,,,
35,163,26th Jan,,Krishna Tea stall,Petty shop & Snacks,14.3,LIVE,Sathish,Purusaivakkam,,,"No:22/1, Tana Street, Purasaiwakkam, Chennai - 600007.",,
36,164,26th Jan,,Samis Tea stall,Petty shop & Snacks,14.3,LIVE,Sathish,Purusaivakkam,,,"No:82/1, Tana Street, Purasaiwakkam, Chennai - 600007.",,
37,165,26th Jan,,Leeba t stall,Petty shop & Snacks,14.3,LIVE,Sathish,Purusaivakkam,,,"No: 9/127, Brickiln Road, Purasaiwakkam, Chennai - 600007.",,
